Count,In-degree,Out-degree
9,0,2
79,0,3
14,0,4
3,0,5
2,0,6
1,0,8
2,0,9
1,0,11
1,0,13
26,1,1
195,1,2
50,1,3
16,1,4
3,1,5
1,1,6
2,1,7
1,1,8
2,1,9
1,1,12
187,2,1
49,2,2
13,2,3
7,2,4
5,2,5
1,2,6
2,2,7
1,2,9
1,2,10
1,2,110
101,3,0
52,3,1
20,3,2
7,3,3
5,3,4
2,3,5
1,3,7
1,3,8
2,3,9
27,4,0
20,4,1
9,4,2
4,4,3
5,4,4
3,4,5
2,4,6
2,4,11
1,4,13
1,4,14
10,5,0
6,5,1
3,5,2
1,5,3
1,5,4
1,5,5
1,5,54
3,6,0
6,6,1
1,6,3
1,6,5
2,6,6
1,6,8
3,7,0
2,7,1
2,7,2
1,7,4
3,8,0
1,8,1
1,8,3
1,8,10
1,8,14
1,9,0
1,9,8
1,10,2
1,11,0
1,14,3
1,25,22
1,35,0
