Count,In-degree,Out-degree
1060,0,3
521,0,4
135,0,5
20,0,6
3,0,7
1,1,0
884,1,1
2538,1,2
1150,1,3
262,1,4
26,1,5
6,1,6
1,2,0
698,2,1
400,2,2
89,2,3
17,2,4
2,2,5
5,3,0
547,3,1
288,3,2
55,3,3
12,3,4
1,3,5
1,3,6
17,4,0
250,4,1
125,4,2
24,4,3
2,4,4
38,5,0
83,5,1
44,5,2
12,5,3
4,5,4
74,6,0
45,6,1
21,6,2
4,6,3
1,6,4
79,7,0
36,7,1
14,7,2
2,7,3
53,8,0
27,8,1
6,8,2
33,9,0
35,9,1
4,9,2
3,9,3
26,10,0
11,10,1
5,10,2
20,11,0
8,11,1
3,11,2
14,12,0
4,12,1
4,12,2
1,12,3
13,13,0
8,13,1
2,13,2
11,14,0
4,14,1
16,15,0
6,15,1
1,15,3
2,16,0
1,16,2
6,17,0
2,17,1
5,18,0
2,18,1
1,18,2
4,19,0
3,19,1
4,20,0
1,21,0
2,21,2
1,22,0
2,22,1
1,22,3
6,23,0
1,23,1
1,24,0
2,24,1
1,24,2
2,25,0
2,26,0
1,26,1
1,27,0
1,27,3
1,28,0
1,28,1
1,29,2
2,31,0
1,31,1
2,33,0
1,33,1
1,34,0
1,34,1
1,35,0
1,37,2
1,38,0
1,38,1
1,39,1
1,40,0
1,44,1
1,45,0
1,51,2
1,58,0
1,63,0
1,69,0
1,90,0
1,113,0
1,188,1
1,214,2
1,236,1
1,257,2
1,327,0
